video,frame,bbox,predicted,confidence
ThesisMP4TEST5.mp4,595,"354,395,385,446",Unknown,0.0051687903448441415
ThesisMP4TEST5.mp4,600,"796,414,839,488",Unknown,0.0055105020266374306
ThesisMP4TEST5.mp4,600,"438,392,482,444",Unknown,0.005346408864763437
ThesisMP4TEST5.mp4,600,"887,446,926,496",Unknown,0.005285577035762544
ThesisMP4TEST5.mp4,600,"371,392,403,437",Unknown,0.005250252883829947
ThesisMP4TEST5.mp4,605,"785,417,826,489",Unknown,0.005223191246097362
ThesisMP4TEST5.mp4,605,"460,395,501,445",Unknown,0.005348077343521346
ThesisMP4TEST5.mp4,605,"876,448,914,497",Unknown,0.005365881465339325
ThesisMP4TEST5.mp4,605,"390,392,422,439",Unknown,0.00574579515929326
ThesisMP4TEST5.mp4,605,"452,392,478,428",Unknown,0.0052771089196214
ThesisMP4TEST5.mp4,610,"781,423,817,490",Unknown,0.005337515954875692
ThesisMP4TEST5.mp4,610,"478,396,517,443",Unknown,0.005252862926586339
ThesisMP4TEST5.mp4,610,"862,448,899,497",Unknown,0.005201623464289354
ThesisMP4TEST5.mp4,610,"409,392,441,439",Unknown,0.005693522793383602
ThesisMP4TEST5.mp4,615,"774,425,813,491",Unknown,0.005272629056700854
ThesisMP4TEST5.mp4,615,"493,393,529,443",Unknown,0.0056585174979300115
ThesisMP4TEST5.mp4,615,"424,392,458,443",Unknown,0.005872782491311376
ThesisMP4TEST5.mp4,620,"774,427,811,493",Unknown,0.005309732056405653
ThesisMP4TEST5.mp4,620,"510,392,541,441",Unknown,0.005246469893494375
ThesisMP4TEST5.mp4,620,"430,394,462,440",Unknown,0.005649944328197466
ThesisMP4TEST5.mp4,625,"765,422,805,493",Unknown,0.005595384250493748
ThesisMP4TEST5.mp4,625,"426,389,457,443",Unknown,0.005244217250151854
ThesisMP4TEST5.mp4,625,"527,390,553,438",Unknown,0.005481848004371938
ThesisMP4TEST5.mp4,630,"760,420,801,494",Unknown,0.00518961838111349
ThesisMP4TEST5.mp4,630,"546,391,573,440",Unknown,0.005366290323412943
ThesisMP4TEST5.mp4,630,"427,394,454,439",Unknown,0.005277703263979076
ThesisMP4TEST5.mp4,635,"770,426,807,493",Unknown,0.005424907713536385
ThesisMP4TEST5.mp4,635,"567,393,589,429",Unknown,0.005298726942411178
ThesisMP4TEST5.mp4,640,"776,423,826,501",Unknown,0.0052855280070493015
ThesisMP4TEST5.mp4,640,"757,433,792,481",Unknown,0.005250904616417615
ThesisMP4TEST5.mp4,640,"450,399,476,441",Unknown,0.005252500330678413
ThesisMP4TEST5.mp4,640,"585,393,607,428",Unknown,0.005240275063343025
ThesisMP4TEST5.mp4,645,"791,428,831,493",Unknown,0.005527858039259341
ThesisMP4TEST5.mp4,645,"749,437,783,483",Unknown,0.005465016792310739
ThesisMP4TEST5.mp4,650,"802,427,841,490",Unknown,0.005332702247153652
ThesisMP4TEST5.mp4,650,"740,439,777,488",Unknown,0.005463580871533113
ThesisMP4TEST5.mp4,650,"511,414,544,454",Unknown,0.005376867448237407
ThesisMP4TEST5.mp4,650,"621,390,643,422",Unknown,0.005225334693372208
ThesisMP4TEST5.mp4,655,"800,419,840,490",Unknown,0.00539963960299531
ThesisMP4TEST5.mp4,655,"730,438,768,487",Unknown,0.005454330700630645
ThesisMP4TEST5.mp4,655,"543,413,580,458",Unknown,0.005361249842913744
ThesisMP4TEST5.mp4,660,"797,421,837,487",Unknown,0.005331150193936956
ThesisMP4TEST5.mp4,660,"559,403,603,458",Unknown,0.005365434065203105
ThesisMP4TEST5.mp4,660,"720,435,757,488",Unknown,0.00524157400001202
ThesisMP4TEST5.mp4,665,"706,438,749,493",Unknown,0.00533938054652162
ThesisMP4TEST5.mp4,665,"786,423,824,484",Unknown,0.005446367852876876
ThesisMP4TEST5.mp4,665,"582,404,623,456",Unknown,0.005633455817227052
ThesisMP4TEST5.mp4,665,"662,393,695,438",Unknown,0.0052711044619566
ThesisMP4TEST5.mp4,670,"778,428,819,497",Unknown,0.005507775632976922
ThesisMP4TEST5.mp4,670,"614,406,655,457",Unknown,0.005302464334145729
ThesisMP4TEST5.mp4,670,"701,442,739,494",Unknown,0.005483994308516395
ThesisMP4TEST5.mp4,670,"690,393,723,437",Unknown,0.005441400075123666
ThesisMP4TEST5.mp4,675,"783,431,822,506",Unknown,0.005463554394849945
ThesisMP4TEST5.mp4,675,"657,410,695,458",Unknown,0.005266491880025825
ThesisMP4TEST5.mp4,675,"688,447,724,494",Unknown,0.005337326873905073
ThesisMP4TEST5.mp4,675,"727,390,752,422",Unknown,0.005252218962135287
ThesisMP4TEST5.mp4,680,"787,435,829,508",Unknown,0.005549260755765544
ThesisMP4TEST5.mp4,680,"689,398,728,454",Unknown,0.0054168691837370685
ThesisMP4TEST5.mp4,680,"754,389,780,423",Unknown,0.005225981316040479
ThesisMP4TEST5.mp4,685,"786,433,832,512",Unknown,0.005343311027388526
ThesisMP4TEST5.mp4,690,"787,435,829,511",Unknown,0.005381805920154957
ThesisMP4TEST5.mp4,690,"617,454,650,498",Unknown,0.005526634944723363
ThesisMP4TEST5.mp4,695,"774,437,816,505",Unknown,0.00541128841622252
ThesisMP4TEST5.mp4,695,"590,447,618,488",Unknown,0.005340532996786125
ThesisMP4TEST5.mp4,700,"762,435,805,514",Unknown,0.005688484558899462
ThesisMP4TEST5.mp4,700,"564,445,593,487",Unknown,0.005412877335945952
ThesisMP4TEST5.mp4,705,"761,440,800,504",Unknown,0.005802968022009801
ThesisMP4TEST5.mp4,705,"876,396,909,445",Unknown,0.005286467176475945
ThesisMP4TEST5.mp4,705,"537,449,564,490",Unknown,0.0053912679124244215
ThesisMP4TEST5.mp4,710,"746,430,790,505",Unknown,0.0053986839128160385
ThesisMP4TEST5.mp4,710,"884,397,928,457",Unknown,0.005874314396200348
ThesisMP4TEST5.mp4,715,"921,403,969,466",Unknown,0.005816767744716279
ThesisMP4TEST5.mp4,715,"742,428,779,490",Unknown,0.005421505274796989
ThesisMP4TEST5.mp4,720,"956,400,1013,471",Unknown,0.0062971906085836525
ThesisMP4TEST5.mp4,720,"736,419,771,475",Unknown,0.005184876485632788
ThesisMP4TEST5.mp4,725,"991,398,1051,472",Unknown,0.00625961351338144
ThesisMP4TEST5.mp4,725,"936,403,970,454",Unknown,0.0055972671554190894
ThesisMP4TEST5.mp4,730,"1037,398,1098,470",Unknown,0.005987554548576268
ThesisMP4TEST5.mp4,730,"733,405,770,464",Unknown,0.0054829868549311385
ThesisMP4TEST5.mp4,730,"951,403,990,455",Unknown,0.005375104545579008
ThesisMP4TEST5.mp4,735,"1080,400,1142,477",Unknown,0.0061816729676334925
ThesisMP4TEST5.mp4,735,"968,404,1013,458",Unknown,0.005316605677530962
ThesisMP4TEST5.mp4,735,"331,467,362,507",Unknown,0.00529003668723734
ThesisMP4TEST5.mp4,740,"1136,404,1205,484",Unknown,0.005988611723569594
ThesisMP4TEST5.mp4,740,"987,403,1036,461",Unknown,0.00535132159771017
ThesisMP4TEST5.mp4,745,"1207,402,1281,486",Unknown,0.006060834118673415
ThesisMP4TEST5.mp4,745,"1009,404,1059,464",Unknown,0.005330156851673014
ThesisMP4TEST5.mp4,745,"253,464,289,509",Unknown,0.005218986174284337
ThesisMP4TEST5.mp4,750,"1026,412,1080,469",Unknown,0.0053299401504168925
ThesisMP4TEST5.mp4,755,"1031,416,1083,472",Unknown,0.005257878271506309
ThesisMP4TEST5.mp4,760,"1026,421,1080,479",Unknown,0.005354918163692666
ThesisMP4TEST5.mp4,765,"1020,417,1078,481",Unknown,0.005295451108910553
ThesisMP4TEST5.mp4,765,"613,398,638,440",Unknown,0.005362139643745593
ThesisMP4TEST5.mp4,770,"1013,419,1069,482",Unknown,0.00555072852533431
ThesisMP4TEST5.mp4,770,"593,397,617,434",Unknown,0.005389059044722108
ThesisMP4TEST5.mp4,775,"1008,422,1065,487",Unknown,0.005456295143652524
ThesisMP4TEST5.mp4,775,"570,397,596,438",Unknown,0.00540349874372244
ThesisMP4TEST5.mp4,780,"1013,425,1072,496",Unknown,0.005815202623031299
ThesisMP4TEST5.mp4,780,"541,402,568,443",Unknown,0.0054039442660524925
ThesisMP4TEST5.mp4,785,"1027,430,1085,501",Unknown,0.005575887367896342
ThesisMP4TEST5.mp4,785,"510,398,541,444",Unknown,0.0054323432483019225
ThesisMP4TEST5.mp4,790,"1044,431,1105,506",Unknown,0.005289577008220141
ThesisMP4TEST5.mp4,790,"486,403,512,442",Unknown,0.005224259467956129
ThesisMP4TEST5.mp4,795,"1053,432,1116,511",Unknown,0.005418840762961123
ThesisMP4TEST5.mp4,795,"465,404,491,442",Unknown,0.005346971850638864
ThesisMP4TEST5.mp4,800,"1059,438,1125,517",Unknown,0.00568587991079158
ThesisMP4TEST5.mp4,800,"452,393,478,439",Unknown,0.005333500751376936
ThesisMP4TEST5.mp4,805,"1062,439,1129,521",Unknown,0.005770499058940692
ThesisMP4TEST5.mp4,805,"429,390,456,432",Unknown,0.005191750937865686
ThesisMP4TEST5.mp4,810,"1064,438,1131,520",Unknown,0.005451420470663915
ThesisMP4TEST5.mp4,810,"410,394,438,435",Unknown,0.005356840578914028
ThesisMP4TEST5.mp4,815,"1068,439,1135,523",Unknown,0.005454517178479236
ThesisMP4TEST5.mp4,815,"393,398,423,438",Unknown,0.005396956718981482
ThesisMP4TEST5.mp4,820,"1076,443,1143,528",Unknown,0.005347269721252328
ThesisMP4TEST5.mp4,825,"1075,438,1143,524",Unknown,0.0053863217467638525
ThesisMP4TEST5.mp4,825,"1186,414,1255,497",Unknown,0.005581530485133387
ThesisMP4TEST5.mp4,825,"371,402,398,441",Unknown,0.005232692533969333
ThesisMP4TEST5.mp4,830,"1067,439,1134,522",Unknown,0.005298071440405799
ThesisMP4TEST5.mp4,830,"365,403,395,446",Unknown,0.0053529773099169195
ThesisMP4TEST5.mp4,835,"1058,451,1131,535",Unknown,0.005360698557458904
ThesisMP4TEST5.mp4,840,"1041,457,1115,540",Unknown,0.0054896317240511906
