frame,track_id,name,confidence,inference_time_ms,pose,pose_confidence,is_locked,consecutive_back_frames
875,3,myke,0.8054149445283714,0.0,frontal,0.7,True,2
880,3,myke,0.8038041146393147,0.0,frontal,0.7,True,2
885,3,myke,0.802196506410036,0.0,frontal,0.7,True,2
890,3,myke,0.8005921133972159,0.0,frontal,0.7,True,2
895,3,myke,0.7989909291704215,469.75207328796387,frontal,0.7,True,2
900,3,myke,0.7973929473120807,0.0,frontal,0.7,True,2
905,3,myke,0.7957981614174565,0.0,frontal,0.7,True,2
910,3,myke,0.7942065650946216,0.0,frontal,0.7,True,2
915,3,myke,0.7926181519644324,0.0,frontal,0.7,True,2
920,3,myke,0.7910329156605036,0.0,frontal,0.7,True,2
925,3,myke,0.7894508498291826,473.36339950561523,frontal,0.7,True,2
930,3,myke,0.7878719481295242,0.0,frontal,0.7,True,2
935,3,myke,0.7862962042332652,0.0,frontal,0.7,True,2
940,3,myke,0.7847236118247987,0.0,frontal,0.7,True,2
945,3,myke,0.7831541646011491,0.0,frontal,0.7,True,2
950,3,myke,0.7815878562719467,0.0,frontal,0.7,True,2
955,3,myke,0.7815878562719467,257.4145793914795,frontal,0.7,True,2
960,3,myke,0.7800246805594028,0.0,frontal,0.7,True,2
965,3,myke,0.778464631198284,0.0,frontal,0.7,True,2
970,3,myke,0.7769077019358874,0.0,frontal,0.7,True,2
975,3,myke,0.7753538865320156,0.0,frontal,0.7,True,2
980,3,myke,0.7738031787589517,0.0,frontal,0.7,True,2
985,3,myke,0.7738031787589517,257.4906349182129,frontal,0.7,True,2
990,3,myke,0.7734162771695722,0.0,back_view,0.7,True,3
995,3,myke,0.771869444615233,0.0,frontal,0.7,True,3
1000,3,myke,0.7703257057260026,0.0,frontal,0.7,True,3
1005,3,myke,0.7687850543145506,0.0,frontal,0.7,True,3
1010,3,myke,0.7672474842059215,0.0,frontal,0.7,True,3
1015,3,myke,0.7672474842059215,250.77247619628906,frontal,0.7,True,3
1020,3,myke,0.7657129892375096,0.0,frontal,0.7,True,3
1025,3,myke,0.7641815632590346,0.0,frontal,0.7,True,3
1030,3,myke,0.7626532001325166,0.0,frontal,0.7,True,3
1035,3,myke,0.7611278937322515,0.0,frontal,0.7,True,3
1040,3,myke,0.7596056379447871,0.0,frontal,0.7,True,3
1045,3,myke,0.7596056379447871,255.86533546447754,frontal,0.7,True,3
1050,3,myke,0.7580864266688975,0.0,frontal,0.7,True,3
1055,3,myke,0.7565702538155596,0.0,frontal,0.7,True,3
1060,3,myke,0.7550571133079286,0.0,frontal,0.7,True,3
1065,3,myke,0.7535469990813127,0.0,frontal,0.7,True,3
1070,3,myke,0.7520399050831501,0.0,frontal,0.7,True,3
1075,3,myke,0.8486311314724339,261.7762088775635,frontal,0.7,True,0
